idweb,dateparution,datelimitereponse,dept,code_departement,nomacheteur,type_acheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,filename,source_schema,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,vrai_conforme,faux_conforme,url_avis,url_pdf
26-81237,2026-08-18,2026-10-09 12:00:00,80,['80'],Conseil Départemental de la Somme,Département,Travaux de mise en accessibilité et inclusivité du collège Eugène Lefebvre à Corbie,"electricité (travaux), peinture (travaux), menuiserie, ascenseur, voirie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81237,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81237,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81237.pdf
26-81332,2026-08-18,2026-09-18 12:00:00,02,['2'],Commune de Bruyères-et-Montbérault,Ville,Construction d'une classe pour l'école maternelle-.,tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81332,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81332,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81332.pdf
26-81385,2026-08-18,,69,['69'],Ville de Chaponost,Ville,Marché public global de performance pour la rénovation énergétique de de l'école des Muguets et de l'espace Perraud à Chaponost,"bâtiment, chauffage (travaux), ingénierie, menuiserie",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-81385,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-81385,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81385.pdf
26-81394,2026-08-18,,25,"['25', '54', '55', '57', '67', '68', '88', '90']",SGAMI Est DAGF BCP,Autre,Travaux de création d'une deuxième travée pour l'entretien et la réparation des poids lourds dans un hangar abritant des véhicules lourds de l'Escadron de gendarmerie mobile de Sélestat,"electricité (travaux), isolation, menuiserie, peinture (travaux), plâtrerie",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-81394,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81394,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81394.pdf
26-81355,2026-08-18,2026-09-14 14:00:00,57,['57'],Mairie de Yutz,Ville,Remplacement des toitures de deux hangars au Centre Technique Municipal (Ctm),"bâtiment, charpente, couverture, amiante (désamiantage)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81355,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81355,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81355.pdf
26-81449,2026-08-18,2026-09-24 12:00:00,18,"['18', '28', '36', '41']",Mairie d'Aubigny Sur Nere,Ville,Accord cadre à bons de commande travaux de marquage au sol - Aubigny sur Nère,signalisation,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,26-81449,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81449,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81449.pdf
26-81423,2026-08-18,,42,['42'],Ville de Saint Etienne,Ville,Réfection de l'éclairage de piste d'athlétisme du stade Henri Lux complexe sportif de l'étivallière rue de la Tour à Saint-étienne,equipement sportif,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-81423,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81423,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81423.pdf
26-81022,2026-08-18,,93,"['93', '95', '94', '75', '78', '91', '92', '77']",VILLE DE DUGNY (93),Ville,"Travaux courants d'entretien, de réparation et d'amélioration/aménagement dans les bâtiments communaux",tous corps d'état,Marchés européens,Procédure Ouverte,Résultat de marché,26-81022,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81022,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81022.pdf
26-81043,2026-08-18,,62,['62'],Mairie de LENS,Ville,"REQUALIFICATION DU GROUPE SCOLAIRE JEAN MACE - RELANCE DES LOTS 3, 4 ET 7 DE LA PROCÉDURE AT25062","charpente, bardage, isolation",Marchés européens,Procédure Ouverte,Résultat de marché,26-81043,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81043,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81043.pdf
26-81257,2026-08-18,2026-09-18 12:00:00,62,['62'],Ville de Libercourt,Ville,"Travaux de renouvellement des réseaux d'assainissement, d'eau potable, de rénovation de la voirie et d'effacement des réseaux Cité du Bois d'Epinoy de Libercourt","voirie et réseaux divers, assainissement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81257,3.2.5,-1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81257,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81257.pdf
26-81261,2026-08-18,2026-10-15 16:00:00,08,['8'],Conseil Départemental des Ardennes,Département,2026-208-DPI : Travaux de remplacement des portails et portillons de trois casernes de gendarmerie-.,métallerie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81261,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81261,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81261.pdf
26-81225,2026-08-18,2026-10-01 16:00:00,64,"['64', '33']",SID Sud-Ouest,Autre,auvent stand de tir,maçonnerie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81225,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81225,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81225.pdf
26-81295,2026-08-18,2026-09-21 12:00:00,95,['95'],Ville de Saint Gratien,Ville,AMELIORATION DU CONFORT D'ETE POUR TROIS GROUPES SCOLAIRES,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81295,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81295,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81295.pdf
26-81367,2026-08-18,,976,['976'],Département-Région de Mayotte,Département,Travaux d'aménagement d'un ponton secours d'accostage et d'amarrage pour les bateaux de plaisance à Dzaoudzi en Petite terre,"travaux dans l'eau, construction navale, equipement hydraulique, installation portuaire",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-81367,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81367,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81367.pdf
26-81359,2026-08-18,2026-09-17 12:00:00,90,['90'],Ville Belfort,Ville,"Plantation d'arbres, d'arbustes et de massifs de vivaces",espaces verts,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81359,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81359,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81359.pdf
26-81370,2026-08-18,2026-09-18 12:00:00,74,['74'],Ville d'Evian (74),Ville,Construction d'un tremplin water jump au parc Dollfus d'Evian,"ouvrage métallique, equipement sportif, fondations spéciales",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81370,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81370,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81370.pdf
26-81107,2026-08-17,2026-09-08 12:00:00,78,['78'],Commune de Bonnelles,Ville,"Marché public de travaux énergétique de rénovation des menuiseries de la salle des conseils municipaux et de la salle des mariages, pour la commune de Bonnelles (78)",menuiserie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81107,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81107,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81107.pdf
26-81001,2026-08-17,,57,['57'],Mairie de Yutz,Ville,"Rénovation des sanitaires de l'école élémentaire Pasteur à Yutz.
Le délai global prévu pour l'exécution de l'ensemble des prestations est de 2 mois.
La durée de la périod","carrelage, gros oeuvre, menuiserie, peinture (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-81001,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81001,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81001.pdf
26-80968,2026-08-17,2026-09-14 12:00:00,33,['33'],Mairie Andernos-les-Bains,Ville,AMENAGEMENT RUE DE LA CARREYRE - PORTION FACE A LA RESIDENCE LA LANDE,voirie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-80968,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-80968,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-80968.pdf
26-80905,2026-08-17,2026-09-17 12:00:00,75,"['75', '77', '78', '91', '92', '93', '94', '95']",FRANCE TRAVAIL ILE-DE-FRANCE,Autre,"Travaux public d'aménagement et gros œuvre, d'électricité et de CVC/Plomberie de l'agence France Travail Montrouge","chauffage (travaux), climatisation, electricité (travaux), plomberie (travaux), sécurité incendie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-80905,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-80905,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-80905.pdf
26-80952,2026-08-17,,13,['13'],Grand Port Maritime De Marseille,Autre,Travaux De Reparation Des Berges Des Quais Landrivon Et Liberte,"berge, travaux dans l'eau",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-80952,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-80952,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-80952.pdf
26-81147,2026-08-17,2026-09-30 16:00:00,94,['94'],Mairie Charenton Le Pont,Ville,Travaux de requalification du quartier Liberté - Place de la Coupole,voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81147,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81147,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81147.pdf
26-81019,2026-08-17,2026-09-02 15:00:00,974,['974'],Commune de Saint-Denis,Ville,Remplacement de la fosse de gymnastique spécialisée de Champ Fleuri,equipement sportif,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81019,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81019,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81019.pdf
