idweb,dateparution,datelimitereponse,dept,code_departement,nomacheteur,type_acheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,filename,source_schema,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,vrai_conforme,faux_conforme,url_avis,url_pdf
26-58085,2026-06-12,,82,['82'],Grand Montauban Communauté d'Agglomeration,Agglomération,Travaux de reprise de l'évacuateur de crue de la digue de la Piboulette à Montauban,digue,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-58085,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58085,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58085.pdf
26-58526,2026-06-12,2026-07-13 12:00:00,65,['65'],Rives et Eaux du Sud Ouest,Autre,MODERNISATION RESEAU COMBEROUGER - TX093,"irrigation, canalisations, forage, compteur d'eau",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58526,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58526,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58526.pdf
26-58435,2026-06-12,2026-06-13 12:00:00,13,"['13', '31', '35', '44', '45', '59', '67', '69', '75']",Assistance Publique - Hôpitaux de Paris,Autre,Remplacement du système SSI du Musée des Moulages situé à l’Hôpital Saint Louis du GH NORD,"alarme, détection incendie, sécurité incendie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58435,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58435,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58435.pdf
26-58397,2026-06-12,2026-07-16 16:00:00,13,"['13', '4', '6', '83', '84']",Région Provence-Alpes-Côte d'Azur,Autre,"Rénovation des toitures des bâtiments Abc, E, Lm et G du Lycée Joliot Curie à Aubagne (13) avec amélioration de la performance thermique des toitures et sécurisation des toitures p","etanchéité, isolation",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58397,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58397,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58397.pdf
26-58702,2026-06-12,,95,['95'],Ville De Goussainville,Ville,"Accord-cadre à bons de commande pour la maintenance, les travaux et les prestations associées sur l'éclairage public, les illuminations festives, la signalisation lumineuse tricolo","eclairage public, illumination, maintenance, télésurveillance",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-58702,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58702,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58702.pdf
26-58666,2026-06-12,2026-07-29 12:00:00,02,['2'],Commune de Bohain-en-Vermandois,Ville,Travaux de restauration de l’Eglise Notre-Dame de LOURDES à Bohain en Vermandois.-.,tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58666,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58666,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58666.pdf
26-58587,2026-06-12,2026-07-10 12:00:00,65,['65'],Rives et Eaux du Sud Ouest,Autre,NOUVELLE POMPE D'EXHAURE ET ALIMENTATION ELECTRIQUE - BEQUIN - X1112,"pompes, chaudronnerie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58587,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58587,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58587.pdf
26-58080,2026-06-12,2026-07-21 12:00:00,49,['49'],Commune de Montrevault sur Èvre,Ville,Restructuration et extension de l'école communale Bellevue de Chaudron-en-Mauges,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58080,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-58080,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58080.pdf
26-58067,2026-06-12,,18,['18'],Conseil Départemental du Cher,Département,Travaux de modernisation du barrage de Goule à Bessais-Le-Fromental,barrage,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-58067,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58067,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58067.pdf
26-57407,2026-06-12,2026-07-15 15:00:00,54,"['54', '57', '88']",SEBL GRAND EST,Autre,0502-TRAVAUX RTE HENRY ET ABORDS,"voirie et réseaux divers, espaces verts",Marchés européens,Procédure Ouverte,Avis de marché,26-57407,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57407,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57407.pdf
26-57675,2026-06-12,2026-06-30 10:00:00,01,['1'],Communauté de Communes de Miribel et du Plateau,Agglomération,Accord-cadre à bons de commande mono-attributaire concernant la réalisation de travaux d'eau potable et d'assainissement,réseaux divers,Marchés européens,Procédure Négociée,Avis de marché,26-57675,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57675,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57675.pdf
26-57525,2026-06-12,,13,['13'],Mairie d'Aix-en-Provence,Ville,Marché public de travaux de réhabilitation de la bibliothèque Méjanes de la ville d'Aix en Provence - Relance du LOT 13 VRD- Espaces extérieurs,"assainissement, terrassement",Marchés européens,Procédure Ouverte,Résultat de marché,26-57525,3.2.5,1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57525,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57525.pdf
26-57567,2026-06-12,2026-07-13 10:00:00,17,['17'],Communauté d'Agglomération de La Rochelle,Agglomération,REHABILITATION DE LA GRANDE HALLE ET DES ESPACES ATTENANTS ESPACE ENCAN,"gros oeuvre, menuiserie",Marchés européens,Procédure Ouverte,Avis de marché,26-57567,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57567,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57567.pdf
26-57467,2026-06-12,2026-08-26 10:00:00,59,"['59', '62']",Mairie de Denain,Ville,CONSTRUCTION DE LA NOUVELLE ECOLE CONDORCET - Relance du Lot 9 - VRD - Espaces Verts suite à déclaration sans suite,"voirie et réseaux divers, espaces verts",Marchés européens,Procédure Ouverte,Avis de marché,26-57467,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57467,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57467.pdf
26-58154,2026-06-12,2026-09-08 12:00:00,62,"['62', '59']",Communauté d' Agglomération de Lens Lievin,Agglomération,Construction de la fourrière animale à Sallaumines (62430),"fourrière, gros oeuvre",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58154,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58154,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58154.pdf
26-58157,2026-06-12,,33,['33'],Ville de Bordeaux,Ville,Travaux De Remise à Niveau Des éléments Extérieurs Des îlots Du Quartier  Mériadeck à Bordeaux,tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-58157,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58157,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58157.pdf
26-58469,2026-06-12,2026-07-10 12:00:00,10,"['10', '51', '52', '54', '55', '57', '67', '68', '88']",Direction interregionale des services pénitentiaires du Grand Est - Département des affaires immobilières,Département,Travaux de remplacement de l’interphonie en cellules et d'ergonomie du poste protégé PCI au centre de détention de Montmédy,télécommunications,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58469,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58469,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58469.pdf
26-58516,2026-06-12,2026-07-10 12:00:00,33,['33'],Ministère de la Justice,Autre,TRAVAUX DE TRAITEMENT ET DE RENFORCEMENT DES CHARPENTES ET ISOLATION DES COMBLES DE LA COUR D’APPEL DE BORDEAUX,"charpente, isolation",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58516,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58516,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58516.pdf
26-58532,2026-06-12,2026-07-02 12:00:00,20A,['20A'],COLLECTIVITE DE CORSE,Autre,"RD 268 PR 59,360 CHAPELLE CONFORTEMENT DE TALUS AMONT COMMUNE D'OLMICCIA","génie civil, ouvrage d'art",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,26-58532,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58532,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58532.pdf
26-58257,2026-06-12,2026-07-09 12:00:00,80,['80'],COMMUNAUTE DE COMMUNES TERRE DE PICARDIE,Agglomération,Marché de travaux de VRD/Espaces verts pour la construction d'un regroupement pédagogique concentré (RPC) à Hypercourt (80),assainissement,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58257,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58257,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58257.pdf
26-58272,2026-06-12,2026-07-16 12:00:00,46,['46'],Ville de Cahors,Ville,Travaux D'Amenagement Des Locaux de la Police Municipale Pour Une Armurerie,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58272,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58272,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58272.pdf
26-58233,2026-06-12,2026-07-15 14:00:00,03,['3'],Ehpad Roger Besson,Autre,"TRAVAUX DE DESENFUMAGE BATIMENT A, DE BOUCLAGE ECS et CONNEXES","gros oeuvre, etanchéité, menuiserie, chauffage (travaux), amiante (désamiantage)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58233,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58233,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58233.pdf
26-58215,2026-06-12,,79,['79'],Groupement Hospitalier de Territoire 79 - Ch Niort,Autre,Construction et installation d'un bâtiment modulaire destiné aux consultations du Service des Maladies Infectieuses et Tropicales (Smit),bâtiments modulaires,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-58215,3.2.5,-4,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58215,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58215.pdf
26-58212,2026-06-12,2026-07-24 12:00:00,25,['25'],Mairie de Besançon,Ville,"Construction d'une nouvelle école élémentaire et d'un restaurant scolaire, réaménagement et extension de la maternelle (Opération des écoles Champagne) - Lots 2, 9, 10, 12 et 14","bâtiment, démolition, plâtrerie, peinture (travaux), menuiserie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58212,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-58212,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58212.pdf
26-58353,2026-06-12,2026-07-09 12:00:00,61,"['61', '72']",Communauté urbaine d'Alençon,Agglomération,Réfection de l'étanchéité sur les toitures terrasses au centre social La Croix Mercier - Reconsultation,"cloison, faux plafond, etanchéité",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58353,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58353,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58353.pdf
26-58313,2026-06-12,2026-07-21 12:00:00,31,['31'],Tisséo Collectivités (Syndicat Mixte des Transports de l'Agglomération Toulousaine),Agglomération,"Accord Cadre Travaux portes, portes coupe-feu et prestations associées sur l'ensemble du périmètre Tisséo",menuiserie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58313,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58313,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58313.pdf
26-58454,2026-06-12,2026-07-24 18:00:00,04,['4'],Commune de Jausiers,Ville,Création de terrains de basket 3*3 sur l'aire de loisirs de Siguret,terrain de sport,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58454,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58454,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58454.pdf
26-57751,2026-06-12,,82,['82'],VILLE DE MONTAUBAN,Ville,Travaux dans les bâtiments communaux et communautaires,bâtiment,Marchés européens,Procédure Ouverte,Résultat de marché,26-57751,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57751,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57751.pdf
26-57518,2026-06-12,2026-07-13 10:00:00,79,['79'],DEPARTEMENT DES DEUX-SEVRES,Département,TRAVAUX STRUCTURELS SUR ROUTES DEPARTEMENTALES,ouvrage d'infrastructure,Marchés européens,Procédure Ouverte,Avis de marché,26-57518,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57518,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57518.pdf
26-57410,2026-06-12,,78,"['78', '93']",Région Ile-de-France,Autre,Marché de conception-réalisation pour la restructuration partielle du lycée Jacques Vaucanson - Les Mureaux (78130) - Dialogue Compétitif - Phase Candidatures,tous corps d'état,Marchés européens,Procédure Dialogue compétitif,Avis de marché,26-57410,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57410,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57410.pdf
26-58150,2026-06-12,2026-07-20 12:00:00,84,['84'],Sem Citadis,Autre,Travaux De Réfection Des Menuiseries Extérieures De L'Ancien Hotel D'Armand - Avignon,menuiserie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58150,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58150,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58150.pdf
26-58500,2026-06-12,2026-07-10 15:00:00,68,"['68', '67', '54', '88', '57', '25', '70', '90']",Etablissement Français du Sang GRAND EST,Autre,Travaux de création d'une Maison du Don (MDD) à mulhouse,"bâtiment, gros oeuvre, chauffage (travaux), isolation, menuiserie, electricité (travaux), peinture (travaux), revêtements de sols, mobilier, carrelage",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58500,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58500,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58500.pdf
26-58543,2026-06-12,2026-07-09 23:59:00,18,['18'],Mairie de Saint Amand Montrond,Ville,Création d'un système de sécurité incendie unique à l'Hôtel de Ville,"electricité (travaux), sécurité incendie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58543,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58543,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58543.pdf
26-58371,2026-06-12,2026-07-06 12:00:00,57,"['57', '67', '68']",Commune de Saverne,Ville,Marché de travaux d’aménagement du square de la Charrue au 1 rue des Clés-137 Grand Rue -Relance de consultation des lots n°02 - n°03 - n°04 - n°05 suite à déclaration sans suite.,"couverture, echafaudage, gros oeuvre, menuiserie, ravalement, voirie et réseaux divers, zinguerie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58371,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58371,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58371.pdf
26-58296,2026-06-12,,31,['31'],Mairie De Blagnac,Ville,Travaux de réhabilitation des deux terrains de football des Barradels en gazon synthétique avec remplissage naturel,terrain de sport,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-58296,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58296,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58296.pdf
26-58304,2026-06-12,2026-07-09 17:00:00,85,['85'],"EPF DE LA VENDEE
123 boulevard Louis Blanc
85000 LA ROCHE SUR YON",Autre,Travaux de désamiantage et de déconstruction d'un ensemble immobilier rue Nationale - LES HERBIERS (85),démolition,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58304,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58304,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58304.pdf
26-58672,2026-06-12,2026-07-15 12:00:00,82,"['82', '31']",Spl Arac Occitanie,Autre,Travaux pour la construction d'un gymnase à Verdun-sur-Garonne,"voirie et réseaux divers, gros oeuvre, charpente, couverture",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58672,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58672,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58672.pdf
26-58690,2026-06-12,2026-07-03 12:00:00,34,['34'],Société d'Equipement de la Région Montpelliéraine,Autre,Travaux pour la réalisation du dévoiement des réseaux du biopole 4 - Zac Euromedecine,voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58690,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58690,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58690.pdf
26-58311,2026-06-12,2026-06-26 12:00:00,51,['51'],CENTRE NATIONAL ARTS DU CIRQUE,Autre,Travaux de rénovation des bâtiments du site de la Marnaise,"bardage, cloison, faux plafond, couverture, curage, démolition, electricité (travaux), gros oeuvre, menuiserie, peinture (travaux), plomberie (travaux), revêtements de sols, serrurerie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58311,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58311,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58311.pdf
26-58378,2026-06-12,2026-07-16 12:00:00,25,['25'],SIEVO,Autre,Construction d'un réservoir d'eau potable semi-enterré de 60 m3 à CHEVIGNEY SUR L OGNON,"réservoir, alimentation en eau potable",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58378,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58378,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58378.pdf
26-57390,2026-06-12,,75,['75'],OPPIC,Autre,"CHATEAU DE VERSAILLES Mise en conformité des réseaux, mise en sécurité et sûreté, traitement climatique du CORPS CENTRAL NORD, phase 2","electricité (travaux), sécurité incendie",Marchés européens,Procédure Ouverte,Résultat de marché,26-57390,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57390,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57390.pdf
26-57772,2026-06-12,,47,"['47', '33', '31', '40', '32', '64', '24', '46']",Ecole nationale d'administration pénitentiaire,Autre,Remplacement de 2 groupes froids - Mise en place de groupes de production VRV dans 4 dojos,climatisation,Marchés européens,Procédure Ouverte,Résultat de marché,26-57772,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57772,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57772.pdf
26-57712,2026-06-12,,84,['84'],Département de Vaucluse,Département,"Travaux d'entretien spécialisé et réparations d'ouvrages d'art du Département de Vaucluse 
Lot n°4",ouvrage d'art,Marchés européens,Procédure Négociée,Résultat de marché,26-57712,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57712,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57712.pdf
26-57572,2026-06-12,2026-06-29 14:00:00,18,['18'],Communauté d'agglomération Bourges Plus,Agglomération,Aménagement des accès au champ captant de Souaire - Création d'ouvrages de franchissement de cours d'eau,"travaux dans l'eau, voirie et réseaux divers",Marchés européens,Procédure Ouverte,Avis de marché,26-57572,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57572,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57572.pdf
26-57354,2026-06-12,2026-07-15 11:00:00,34,['34'],Inserm DR Occitanie Méditerranée,Autre,TRAVAUX DE REHABILITATION ET D’EXTENSION DU CENTRE DE BIOLOGIE STRUCTURALE,"amiante (désamiantage), photovoltaïque",Marchés européens,Procédure Ouverte,Avis de marché,26-57354,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-57354,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57354.pdf
26-57571,2026-06-12,2026-06-29 14:00:00,76,['76'],Metropole Rouen Normandie,Agglomération,La Seine à Vélo - Travaux Secteur Amont (Belbeuf - Tourville-la-Rivière) - lots 1 et 2,voirie et réseaux divers,Marchés européens,Procédure Ouverte,Avis de marché,26-57571,3.2.5,2,True,True,"vélo, véloroute",False,True,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57571,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57571.pdf
26-57664,2026-06-12,2026-07-13 14:00:00,13,['13'],Ville de Marseille,Ville,Réalisation d'aménagements paysagers et d'accueil du public sur les terrains communaux à caractère de nature en 2 lots,"espaces verts, signalisation",Marchés européens,Procédure Ouverte,Avis de marché,26-57664,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57664,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57664.pdf
26-57691,2026-06-12,2026-07-15 10:00:00,42,['42'],HABITAT ET METROPOLE SAINT-ETIENNE,Agglomération,REHABILITATION THERMIQUE DE 156 LOGEMENTS - RESIDENCE LES PALERMES A SAINT CHAMOND,"electricité (travaux), gros oeuvre, isolation, menuiserie, plomberie (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,26-57691,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-57691,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-57691.pdf
26-58127,2026-06-12,2026-07-15 12:00:00,25,['25'],EFS BFC,Autre,Remplacement de deux centrales secours R404 de chambres froides en une centrale CO2 SECOURS sur le site de Dijon de l’EFS BFC,chambre froide,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58127,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58127,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58127.pdf
26-58130,2026-06-12,2026-06-26 12:00:00,51,['51'],Centre National des Arts du Cirque,Autre,Marché de travaux de rénovation bâtimentaire,"bâtiment, plomberie (travaux), matériel électrique, bardage, menuiserie, gros oeuvre, carrelage, peinture (travaux), couverture, serrurerie, cloison, faux plafond",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58130,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58130,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58130.pdf
26-58148,2026-06-12,2026-07-09 12:00:00,80,['80'],Université de Picardie Jules Verne,Autre,Remplacement de l'ascenseur du bâtiment D Campus du Thil,ascenseur,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58148,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58148,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58148.pdf
26-58073,2026-06-12,2026-07-06 18:00:00,34,"['34', '26', '30', '7', '84', '38']",ENR5-SBLV4,Autre,SBLV4-Travaux-VRD-Débroussaillage-Clôture-Aménagements écologiques (Adapté),"photovoltaïque, terrassement, clôture",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58073,3.2.5,1,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-58073,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58073.pdf
26-58238,2026-06-12,2026-07-09 12:00:00,91,['91'],Commune de Viry-Chatillon,Ville,Travaux de dépollution des terres et rabattement de nappe phréatique d'un terrain situé au 24 rue Danielle Casanova et au 26 rue du Capitaine Ferber à VIRY-CHATILLON (91),dépollution,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58238,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58238,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58238.pdf
26-58256,2026-06-12,2026-07-13 15:00:00,78,['78'],Mairie de Saint Arnoult en Yvelines,Ville,CONSTRUCTION D'UN CENTRE TECHNIQUE MUNICIPAL A SAINT ARNOULT EN YVELINES,"photovoltaïque, plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58256,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-58256,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58256.pdf
26-58278,2026-06-12,2026-07-03 10:00:00,66,['66'],Ville de Rivesaltes,Ville,"Travaux de voirie avenue Louis Blanc
Lot 1: Voirie et signalisation
Lot 2: Réseaux secs",voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58278,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58278,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58278.pdf
26-58281,2026-06-12,2026-07-17 12:00:00,30,"['30', '34', '12']",Hôpital de Proximité de Le Vigan,Autre,Rénovation De La Toiture De L'Ancien Ehpad,couverture,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58281,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58281,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58281.pdf
26-58495,2026-06-12,2026-07-17 16:00:00,35,"['35', '22', '56', '44']",INSA Rennes,Autre,Opération de travaux coeur de campus numérique à l’INSA Rennes,"bâtiment, gros oeuvre, plomberie (travaux), menuiserie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58495,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58495,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58495.pdf
26-58538,2026-06-12,2026-07-06 12:00:00,39,"['39', '71', '1', '25', '74']",Spl Jura Chaleur Renouvelable,Autre,249006m - Septmoncel Chaufferie et réseau de chaleur - Relance suite à infructuosité lot 4 et lot 6,chauffage (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-58538,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-58538,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-58538.pdf
